PLY;Points
cell_13_35.ply;857
cell_13_36.ply;1069
cell_13_37.ply;990
cell_13_38.ply;413
cell_13_39.ply;71
cell_14_3.ply;264
cell_14_4.ply;214
cell_14_5.ply;575
cell_14_6.ply;714
cell_14_7.ply;940
cell_14_8.ply;845
cell_14_9.ply;1266
cell_14_10.ply;645
cell_14_11.ply;1424
cell_14_12.ply;500
cell_14_13.ply;1139
cell_14_14.ply;749
cell_14_15.ply;1367
cell_14_16.ply;1036
cell_14_17.ply;875
cell_14_18.ply;950
cell_14_19.ply;733
cell_14_20.ply;1230
cell_14_21.ply;2255
cell_14_22.ply;2924
cell_14_23.ply;3178
cell_14_24.ply;2367
cell_14_25.ply;1527
cell_14_26.ply;1559
cell_14_27.ply;1586
cell_14_28.ply;1792
cell_14_29.ply;1321
cell_14_30.ply;1801
cell_14_31.ply;737
cell_14_32.ply;617
cell_14_33.ply;1258
cell_14_34.ply;1355
cell_14_35.ply;577
cell_14_36.ply;712
cell_14_37.ply;658
cell_14_38.ply;375
cell_14_39.ply;225
cell_15_3.ply;19
cell_15_4.ply;200
cell_15_5.ply;198
cell_15_6.ply;775
cell_15_7.ply;874
cell_15_8.ply;955
cell_15_9.ply;929
cell_15_10.ply;856
cell_15_11.ply;1080
cell_15_12.ply;405
cell_15_13.ply;694
cell_15_14.ply;668
cell_15_15.ply;763
cell_15_16.ply;883
cell_15_17.ply;1590
cell_15_18.ply;817
cell_15_19.ply;1031
cell_15_20.ply;942
cell_15_21.ply;1381
cell_15_22.ply;2036
cell_15_23.ply;2804
cell_15_24.ply;2140
cell_15_25.ply;2351
cell_15_26.ply;1731
cell_15_27.ply;1284
cell_15_28.ply;1026
cell_15_29.ply;998
cell_15_30.ply;905
cell_15_31.ply;681
cell_15_32.ply;900
cell_15_33.ply;596
cell_15_34.ply;484
cell_15_35.ply;545
cell_15_36.ply;759
cell_15_37.ply;770
cell_15_38.ply;421
cell_15_39.ply;214
cell_16_4.ply;164
cell_16_5.ply;266
cell_16_6.ply;221
cell_16_7.ply;1116
cell_16_8.ply;479
cell_16_9.ply;834
cell_16_10.ply;801
cell_16_11.ply;1433
cell_16_12.ply;642
cell_16_13.ply;749
cell_16_14.ply;1073
cell_16_15.ply;947
cell_16_16.ply;904
cell_16_17.ply;1153
cell_16_18.ply;976
cell_16_19.ply;1087
cell_16_20.ply;1297
cell_16_21.ply;1748
cell_16_22.ply;1160
cell_16_23.ply;2488
cell_16_24.ply;2312
cell_16_25.ply;2213
cell_16_26.ply;2773
cell_16_27.ply;2091
cell_16_28.ply;1185
cell_16_29.ply;1029
cell_16_30.ply;923
cell_16_31.ply;832
cell_16_32.ply;945
cell_16_33.ply;701
cell_16_34.ply;477
cell_16_35.ply;713
cell_16_36.ply;403
cell_16_37.ply;612
cell_16_38.ply;698
cell_16_39.ply;123
cell_17_5.ply;221
cell_17_6.ply;272
cell_17_7.ply;1196
cell_17_8.ply;931
cell_17_9.ply;657
cell_17_10.ply;523
cell_17_11.ply;1270
cell_17_12.ply;727
cell_17_13.ply;730
cell_17_14.ply;874
cell_17_15.ply;878
cell_17_16.ply;1085
cell_17_17.ply;1768
cell_17_18.ply;1235
cell_17_19.ply;1568
cell_17_20.ply;1111
cell_17_21.ply;998
cell_17_22.ply;1422
cell_17_23.ply;1318
cell_17_24.ply;2301
cell_17_25.ply;1329
cell_17_26.ply;1198
cell_17_27.ply;2130
cell_17_28.ply;1621
