//X Y Z Roughness_(0.15893) R G B
26.64376831 23.62378883 -1.00627804 0.035290 0 175 79
17.02065468 3.22350454 0.67177200 0.039259 0 196 58
19.48867989 2.55650783 0.65708995 0.092389 207 255 0
19.27523422 2.96922088 0.67822480 0.009252 0 44 210
45.85657501 3.77785826 -0.89957142 0.038965 0 193 61
16.98074532 3.17130828 1.18350363 nan 204 204 204
18.79118919 -32.27835464 2.70157814 0.071710 103 255 0
19.70659637 -31.90673065 2.62108231 0.044224 0 220 34
18.06489182 9.20468235 -0.33296299 0.016973 0 83 171
13.28620720 16.58625603 -0.32674599 0.007562 0 35 219
11.85867882 -15.23651695 1.45895457 0.069940 94 255 0
14.25482750 -14.38128090 1.23389006 0.005751 0 26 228
13.52246094 -8.49474907 1.11739969 0.066318 76 255 0
26.15853691 1.13480711 -0.00929642 0.001118 0 2 252
19.35397339 2.63900352 0.21370554 0.016779 0 83 171
19.25892639 2.93423986 0.21392345 0.023779 0 118 136
16.66941643 3.79498601 0.36329365 0.043508 0 217 37
35.46962357 -18.35897064 0.63513660 0.053947 13 255 0
31.36322021 -21.50501251 1.09021449 0.040314 0 199 55
17.36357689 -13.37810612 1.48478508 0.053541 13 255 0
19.43771362 2.56469750 0.74335098 0.055488 22 255 0
19.37925911 3.07895732 0.71592999 0.005711 0 26 228
16.72840881 3.73295593 0.82160473 nan 204 204 204
16.95893669 3.99972463 1.19936371 nan 204 204 204
35.19903564 11.59720230 -0.70505953 0.033412 0 166 88
26.05771637 1.03935111 0.12423658 0.018101 0 88 166
19.30601692 2.95195723 0.92409325 0.042763 0 214 40
17.33825684 4.73395634 1.15113878 0.051799 4 255 0
43.31458664 15.73503017 -1.56427145 0.028049 0 139 115
29.08069229 6.39823675 -0.51279259 0.048090 0 241 13
31.36164093 -21.71925926 1.15933752 0.049732 0 247 7
25.12645340 -12.94791603 0.58846426 0.005284 0 23 231
22.99979401 -4.69877768 0.76905632 0.012174 0 59 195
19.63870239 -31.72661972 2.30976439 0.077648 133 255 0
11.49732399 -14.85757160 1.31253767 0.017784 0 85 169
10.86603737 19.57311630 -0.31525564 0.070202 97 255 0
16.44384384 -10.64865971 1.56830239 0.020068 0 97 157
16.88023949 -10.47730827 1.52601528 0.041683 0 208 46
18.97601891 16.49262047 0.06014633 0.088045 186 255 0
17.61621475 -13.48698711 1.36471105 0.013485 0 65 189
19.28334618 2.78355861 1.24572277 0.034286 0 169 85
17.48276520 5.86338997 1.22275066 0.017838 0 88 166
25.01275253 -12.79196835 0.62266421 0.017354 0 85 169
29.33288956 -10.38267708 0.55118132 0.085051 171 255 0
22.77988434 -4.73170090 0.40875149 0.059872 43 255 0
25.44108009 -3.46953273 0.30325556 0.063980 64 255 0
18.26314545 -8.48292160 1.07041025 0.069792 94 255 0
33.63380432 -9.78522873 0.69426131 0.016518 0 80 174
25.08947754 -2.50465822 0.32081127 0.074242 118 255 0
19.31459045 2.54451609 0.24099445 0.062755 58 255 0
19.27068329 2.90371180 0.19497204 0.041899 0 208 46
21.33165169 4.50515127 -0.14972067 0.043972 0 220 34
18.01449013 9.18550301 -0.31297493 0.029702 0 148 106
17.55724907 5.82526588 0.11697626 nan 204 204 204
17.38342285 6.13036108 0.09300327 nan 204 204 204
17.63927460 9.32756519 -0.26380062 0.073472 112 255 0
8.45969677 10.94337463 0.32452822 0.046025 0 229 25
8.17591667 10.94769573 0.34749842 0.058784 40 255 0
6.36756516 12.48301220 0.38172436 0.026089 0 127 127
10.17989635 18.53700829 -0.46143341 0.051121 1 255 0
19.24463081 2.88639140 0.69646072 0.021039 0 103 151
17.38253403 6.25515270 0.54262352 0.032868 0 163 91
35.27225113 11.49137688 -0.65404510 0.051544 1 255 0
21.23228455 16.31590843 -0.44542170 0.001008 0 2 252
19.27809906 2.74969912 1.18837285 0.004205 0 20 234
17.68914795 5.90501833 1.01464725 nan 204 204 204
17.43563461 6.26398897 0.99829435 0.107995 255 224 0
43.86352158 24.48932838 -1.83180189 0.033169 0 163 91
8.99896049 11.51682949 0.33106804 0.015646 0 77 177
8.65271950 11.53256893 0.31574059 0.044059 0 220 34
12.50773048 17.89440536 -0.09120655 0.002359 0 8 246
6.48998737 12.74830341 0.19617224 0.035888 0 178 76
6.21031284 12.25765038 0.34595060 0.021684 0 106 148
5.46070862 11.99480820 0.36985159 0.018074 0 88 166
5.19398975 12.04550457 0.32542849 0.033890 0 169 85
5.14512920 13.90561867 0.19653654 0.017662 0 85 169
3.13894939 16.94194984 -0.18679953 0.043238 0 214 40
20.03371429 -20.04178238 1.22603655 0.001135 0 2 252
17.57983398 -13.38580322 1.49054193 0.020126 0 97 157
31.36221313 3.37723231 -0.39230490 0.059919 43 255 0
8.41161728 23.84548187 -0.79661989 0.071608 103 255 0
25.30705643 -12.98650742 0.62851810 0.054811 19 255 0
22.87330627 -5.26363659 0.50751972 0.020985 0 103 151
15.76803589 -3.79794574 0.74873352 0.040799 0 202 52
50.04402161 -21.76304054 0.58288217 0.020332 0 100 154
15.41517448 -4.21615601 1.02025080 0.061177 52 255 0
13.00630093 -4.07723522 0.80837774 0.050810 0 253 1
35.23793030 -18.36334991 0.71530771 0.012463 0 62 192
34.83058548 29.67664528 -1.97419453 0.073718 115 255 0
34.00122833 30.44177437 -1.99142694 0.009384 0 44 210
31.35320663 -1.48373699 -0.20699549 0.031384 0 154 100
31.60903549 -0.97766924 -0.23215723 0.071009 100 255 0
15.18670464 22.70591354 -0.62058926 0.070000 94 255 0
-2.09633350 35.79271698 -1.19741249 0.002457 0 11 243
18.60700607 -7.30415106 0.79702234 0.033607 0 166 88
31.74922371 -1.54286575 -0.14715576 0.041374 0 205 49
25.42675972 5.29263687 -0.33842516 0.068295 88 255 0
25.86855316 -13.32553101 0.59268737 0.000804 0 2 252
18.80546951 15.74825191 -0.12855864 0.024485 0 121 133
19.21450043 2.57257080 0.55905485 0.024214 0 118 136
19.37156677 2.90366745 0.91761565 0.017164 0 83 171
17.54227066 6.10982323 0.95137715 0.006483 0 29 225
30.34540558 15.93966866 -1.24017215 0.007107 0 32 222
45.62991333 3.98225021 -0.92367578 0.025101 0 124 130
47.90249634 -9.96466637 -0.19497681 0.039536 0 196 58
19.06214523 15.65409946 -0.18793273 0.000470 0 0 255
23.73888779 0.12230492 0.04899049 0.014448 0 71 183
19.33261871 2.57981658 0.16456223 0.040348 0 199 55
19.37582397 2.94674397 0.18106246 0.000389 0 0 255
19.20930481 2.60245037 0.58243513 0.055346 22 255 0
17.76663589 5.76299381 0.66931438 0.025404 0 124 130
17.56053543 6.31428480 0.71175480 0.014022 0 68 186
19.36707306 2.62886786 0.93870497 0.028154 0 139 115
17.49880981 6.00602722 1.04550183 0.045716 0 229 25
43.23625183 15.75899315 -1.61321640 0.023273 0 115 139
24.10536194 30.39670181 -1.53680658 0.001526 0 5 249
15.14309311 24.73201370 -0.89075398 0.007966 0 38 216
19.50038528 3.01975608 0.50262284 0.021080 0 103 151
17.63463211 5.87954855 0.76692271 0.009554 0 47 207
17.58692551 6.32594204 0.79431725 0.020090 0 97 157
19.30320358 2.62792158 0.89709997 0.020563 0 100 154
19.37274551 2.84303617 0.90608048 0.020858 0 103 151
17.42668533 6.05215740 1.13384771 0.050623 0 253 1
26.14442635 2.94926023 -0.23033047 0.009766 0 47 207
26.24638557 3.30180311 -0.21732187 0.033829 0 169 85
19.23435593 2.59065819 0.40956330 0.083507 163 255 0
19.46210098 2.93795061 0.82615328 0.003579 0 17 237
17.72906113 5.79709435 0.72077203 0.000564 0 0 255
17.57012558 6.33674145 0.79979467 0.040311 0 199 55
19.25664139 2.68551445 0.82828498 0.041480 0 205 49
24.12780190 30.40888023 -1.15301371 0.025875 0 127 127
-2.01977825 36.22272491 -0.90925336 0.012926 0 62 192
17.47660255 26.14093018 -0.79073381 0.006775 0 32 222
13.90713692 27.14970970 -0.74339414 0.089439 192 255 0
31.70777130 -0.99665451 -0.19581914 0.058600 37 255 0
31.32593918 -1.48037243 -0.20307279 0.049534 0 247 7
17.65130234 5.80677652 0.44431353 0.022333 0 109 145
25.12254715 -2.34855080 0.27329850 0.077241 133 255 0
19.49645233 3.00657892 0.48526907 0.001085 0 2 252
17.54312325 6.35358620 0.53192735 0.031001 0 154 100
17.61553383 6.28490686 0.83697486 0.015342 0 74 180
17.56446457 5.97416735 0.81618571 0.034994 0 172 82
19.34965706 2.49390221 0.86982107 0.001041 0 2 252
17.48574066 6.04910278 1.16245079 0.009472 0 44 210
8.42040348 24.00691223 -0.79584289 0.038772 0 193 61
22.74768066 4.99146700 -0.26380253 0.013674 0 68 186
27.22876167 1.94473457 -0.01982498 0.048965 0 244 10
19.38637543 2.95961761 0.13718462 0.028713 0 142 112
17.71836853 5.76217079 0.44792247 0.032258 0 160 94
17.58743668 6.35752106 0.54672003 0.012621 0 62 192
19.55691147 2.98662567 0.55963373 0.067059 82 255 0
